"1.      What do you think are barriers to getting ahead and becoming financially stable?  For each of the  following 27 options listed, please mark (x) if you think it is a “Big Barrier,” “Less of a Barrier” or “Not a Barrier” in your local community?",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.      Our state is currently in an economic and health crisis. What type of PROGRAMS do you think are most needed to respond? (Pick your top three Priorities in the TOP column, add your next three priorities in the NEXT column)",,,,,,,,,,,,,,,,,,,,Any other program needed that would best help families become self-sufficient? (fill in),"a.      How familiar are you with the programs that are offered by EightCAP, Inc.?",,a.      Which response best describes how you see EightCAP’s current role in our community? (Please pick one.),a.      How can EightCAP best serve in the future? (Pick all the options that you think apply.),,,,,, Which county do you live in?,b. What best describes your relationship with EightCAP?,Have you used any of the following services from EightCAP in the last three years?,,,,,,,,,,,Have you experienced any of the following in the past year?,,,,,,,,,,,,,,,,What best describes your work status? (Check all that apply),What Counties do you work in? Check all that apply.,,,,,Do you have health insurance?,What best describes your Race/Ethnicity?,Gender?,Age,Marital Status,Schooling – last grade/degree completed?,Military Status?,Your current housing situtation?,"What is the monthly cost of housing for you- (include estimated cost of utilities, insurance in amount?)",How many people (adults and children) in your household?,What is your total Household income range?,Do you have a computer at home?,Do you have a Smart phone?,Do you have internet access?,Is there anything else about your circumstances you would like to share?,Is there anything else about the community's changing needs you would like to add?
"1.	Lack of good jobs","2.	Lack of skills/education to fill available job openings","3.	Skilled trades (welding, construction) are not valued","4.	Lack of affordable child care","5.	High school dropouts","6.	School age children fall behind in class learning","7.	College is unaffordable/unavailable","8.	Lack of affordable health care","9.	Lack of affordable prescription coverage","10.	Teenage pregnancy","11.	Family/ child abuse (domestic violence)","12.	Hunger","13.	Lack of money to retire and live without worry","14.	Lack of affordable housing","15.	Unable to afford heat or other utilities","16.	Housing available is poor quality","17.	Homelessness","18.	Doubled up/couch surfing/living with relatives/friends","19.	Lack of transportation options","20.	Gambling","21.	Alcohol/drug abuse","22.	Families have large medical debts","23.	Families have large student debts","24.	Lack of services for Senior Citizens","25.	Lack of services for homeless families","26.	Eligibility for needed support programs are too strict or in too short supply","27.	It is harder to move up to middle class than it was 10 years ago","1.	Strengthening family relations","2.	Early childhood education programs with child and family supports","3.	Having credit/credit repair and budgeting training","4.	Help saving and planning for retirement","5.	Have affordable health coverage","6.	Help getting a college degree","7.	Counseling on mental health/family problems","8.	Help staying physically healthy","9.	Help with basic (emergency) needs tied to long term stability","10.	Help with basic needs of food, clothing, or shelter","11.	Help with transportation barriers","12.	Help completing high school/GED","13.	Job seeking/retraining","14.	Help with housing costs","15.	Installing energy saving measures in homes","16.	Help with household expenses (utility bills, water bill, etc.)","17.	Help with home repair costs","18.	Navigators to help with confusing systems in education, health, job seeking, disability determinations, reaching retirement, etc.","19.	More flexibility in current programs to address new needs in the community","20.	More collaboration across community programs/services",Open-Ended Response,Response,Other (please specify),Response,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,Other (please specify),Response,Response,Rental Assistance,Head Start,Early Head Start,Heating Assistance,Hotel Vouchers,Food Distribution,Camp Wah Wah Tay See,Mortgage Assistance,Foster Grandparents/Senior Companions,Weatherization,Other (please specify),"a.	Moved because of eviction or foreclosure","b.	Received a shut-off notice for utilities","c.	Been without heat","d.	Been homeless","e.	Used a food bank or food pantry","f.	Did you or family member cut or skip a meal because there was not enough money for food","g.	Household member lost job/laid off from work","h.	You or family member incarcerated (jail or prison) in past 3 years",i.   Didn’t go to the doctor because of the cost,j. Didn’t get a prescription filled because of the cost,k. Missed work because didn’t have transportation,l. Missed work because child care plans fell through,m. Your family income dropped because an adult left the household,n. Your family income dropped because an adult became disabled and couldn’t work,o. Had a bank account closed because overdrawn,p. Missed a car payment/ insurance payment,Response,Gratiot,Ionia,Isabella,Montcalm,Other,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response
Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Not a Barrier,Less of a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Big Barrier,Not a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Not a Barrier,Don't know,Big Barrier,Not a Barrier,Less of a Barrier,Don't know,Don't know,Not a Barrier,Big Barrier,Big Barrier,Not a Barrier,,,,,,Next Priority,Top Priority,,,Top Priority,,,,Next Priority,,Next Priority,,,Top Priority,,,Very familiar,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Montcalm,Community member,,,,,,,,,,,,,"b.	Received a shut-off notice for utilities",,,,,"g.	Household member lost job/laid off from work","h.	You or family member incarcerated (jail or prison) in past 3 years",,,,,m. Your family income dropped because an adult left the household,,o. Had a bank account closed because overdrawn,p. Missed a car payment/ insurance payment,"6.	Non-profit (including religious org.) employee",,Ionia,,,,Yes,White or Caucasian,Female,45-54 years,Divorced,Have College Degree,N/A,Own/buying home,1500,Household of 5,"$45,001-75,000",Yes,Yes,No,EightCAP is a very beneficial part of the community.  Programs need to be more flexible with services - there are needs in the community that there are no resources for.  ie. property tax payments,
Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Next Priority,Next Priority,Next Priority,Next Priority,Top Priority,Next Priority,Top Priority,Next Priority,Next Priority,Top Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,Next Priority,medical advocacy for those who are sick and in crisis,Very familiar,,EightCAP’s services are vital for a strong community,,,,,Partner with other organizations and agencies in the community,,Montcalm,Work for EightCAP or on Governance Board/Policy Council,,,,,,,,,,,,,,,,,,"g.	Household member lost job/laid off from work",,,,,,,,,,"6.	Non-profit (including religious org.) employee",,,,Montcalm,,Yes,White or Caucasian,Female,24-44 years,Married,Have College Degree,N/A,Own/buying home,1500,Household of 4,"$75,001-$100,000",Yes,Yes,Yes,,Low paying jobs and gig work are replacing jobs that pay a living wage. We need good employers in our area before anything can improve.
Big Barrier,Big Barrier,Not a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,,Top Priority,,,Top Priority,Next Priority,,,,,,,Next Priority,,,,,Top Priority,Next Priority,,instructions on home gardening,Very familiar,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Isabella,Work for EightCAP or on Governance Board/Policy Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",,,Isabella,,,Yes,Hispanic or Latino,Male,70+ years old,Married,Have College Degree,Veteran,Own/buying home,800,Household of 2,"$25,001 – 45,000",Yes,Yes,Yes,,
Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Top Priority,Top Priority,Next Priority,Top Priority,Top Priority,Next Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,,Advocate for low income residents in the community,,,Montcalm,Work for EightCAP or on Governance Board/Policy Council,,,,,,,,,,,,,,"c.	Been without heat",,,,,"h.	You or family member incarcerated (jail or prison) in past 3 years",,,k. Missed work because didn’t have transportation,,,,,p. Missed a car payment/ insurance payment,"6.	Non-profit (including religious org.) employee",,,,Montcalm,,Yes,White or Caucasian,Female,55-69 years,Divorced,Less than High school diploma,N/A,Own/buying home,1400,Household of 3,"$25,001 – 45,000",Yes,No,Yes,no,Our community do not need the pot shop that will hart our community
Big Barrier,Big Barrier,Not a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Not a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,,,,,,,Top Priority,,Top Priority,Next Priority,Next Priority,,Next Priority,,,,,,Top Priority,,I feel that the families own values and beliefs often hold them back form moving forward.  That may pertain to eeducation or lack of. Mentla health issues that prevent them form moving forward.,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,,Improve access to and/or quality of current programs,,,,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.	Non-profit (including religious org.) employee",,,,Montcalm,,Yes,White or Caucasian,Female,45-54 years,Married,Have College Degree,N/A,Own/buying home,$1500.00,Household of 2,"$75,001-$100,000",Yes,Yes,Yes,I serve the Medicaid population with my work.,I would like to see more low cost internet service to our rural community
,,,,,,,,,,,,,,,,,,Big Barrier,,,,,,,Big Barrier,,,,,,,,Top Priority,,,,Top Priority,,,,,,,,,,"Case coordination, assistance for seniors in coordinating the services/agencies/qualifying criteria’s.  Isolation and transportation continues to be a barrier for seniors.  Especially transportation for non-medical needs.",Somewhat familiar with EightCAP programs,,EightCAP’s services are helpful but not vital for a strong community,,,Start new programs to met new needs in the community,,Partner with other organizations and agencies in the community,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",,Ionia,,Montcalm,,Yes,,Female,,,,,,,,,,,,,
Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Not a Barrier,Less of a Barrier,Less of a Barrier,Don't know,Less of a Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Don't know,Less of a Barrier,Less of a Barrier,Big Barrier,Don't know,Less of a Barrier,Don't know,Less of a Barrier,Less of a Barrier,Less of a Barrier,Don't know,Big Barrier,Top Priority,Next Priority,,,Top Priority,,,Next Priority,Next Priority,,Top Priority,,,,,,,,,,,Somewhat familiar with EightCAP programs,,No opinion,,Improve access to and/or quality of current programs,,,,,Montcalm,Work for agency/organization that partners with EightCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.	Government (including schools) employee",,,,Montcalm,,Yes,White or Caucasian,Male,55-69 years,Married,Have Masters or other advanced degree,N/A,Own/buying home,,Household of 2,"$75,001-$100,000",Yes,Yes,Yes,,
Don't know,Big Barrier,Don't know,Big Barrier,Big Barrier,Don't know,Big Barrier,Big Barrier,Big Barrier,Don't know,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Don't know,Big Barrier,Big Barrier,Big Barrier,Not a Barrier,Not a Barrier,Less of a Barrier,Not a Barrier,Don't know,Big Barrier,Big Barrier,Big Barrier,Top Priority,Not Applicable,Next Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,,Top Priority,Top Priority,Top Priority,Top Priority,Next Priority,Top Priority,Top Priority,Next Priority,Next Priority,Next Priority,,Somewhat familiar with EightCAP programs,,EightCAP’s services are vital for a strong community,,Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,,,Montcalm,Community member,,,,,,,,,,,,,,,"d.	Been homeless","e.	Used a food bank or food pantry",,,,,,,,,,,,"1.	Unemployed, and looking",,,Isabella,,,Yes,White or Caucasian,Female,45-54 years,Divorced,High School or GED diploma,N/A,Doubled up with family or friends temporarily,400,Household of 3,"Under $6,000",No,Yes,No,,
Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Less of a Barrier,Not a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Less of a Barrier,Big Barrier,Big Barrier,Don't know,Big Barrier,Less of a Barrier,Less of a Barrier,Big Barrier,Big Barrier,Big Barrier,Big Barrier,Top Priority,Next Priority,Top Priority,Next Priority,Top Priority,Next Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Top Priority,Next Priority,Top Priority,Next Priority,Next Priority,Top Priority,Top Priority,Top Priority,,Very familiar,,EightCAP’s services are vital for a strong community,Expand the availability of services in current programs (serve more customers),Improve access to and/or quality of current programs,Start new programs to met new needs in the community,Advocate for low income residents in the community,Partner with other organizations and agencies in the community,,Montcalm,Work for EightCAP or on Governance Board/Policy Council,,,,,,,,,,,,,,,,,"f.	Did you or family member cut or skip a meal because there was not enough money for food",,,i.   Didn’t go to the doctor because of the cost,,k. Missed work because didn’t have transportation,,,,,p. Missed a car payment/ insurance payment,"6.	Non-profit (including religious org.) employee",,Ionia,,Montcalm,,Yes,White or Caucasian,Female,55-69 years,Married,Have College Degree,N/A,Own/buying home,1000,Household of 2,"$45,001-75,000",Yes,Yes,Yes,,
